Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;Blockname;"Aufnahme der kommerziellen Stromerzeugung der derzeit in Betrieb befindlichen Erzeugungseinheit
(Datum/Jahr)";Geplante Ausserbetriebnahme;"Quelle Außerbetriebnahme
Abgerufen am 07.11.2019";Kommentar;Energieträger;Netto-Nennleistung (elektrische Wirkleistung) in MW;Geplante endgültige Aufgabe von Netto-Nennleistung (elektrisch) in MW;Art der Stilllegung;Netzreserve / Kapazitätsreserve / Sicherheitsbereitschaft / vorläufig stillgelegt;Systemrelevanz;Quelle
BNA0618;Steag GmbH;KW Lünen;Lünen 6;;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;149;149;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0619;Steag GmbH;KW Lünen;Lünen 7;;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;324;324;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0627;Kraftwerke Mainz-Wiesbaden AG;Kraftwerk Mainz;KW2;1976;2022;BNA Bericht - Feststellung des Bedarfs an Netzreserve für den Winter 2019/2020 sowie das Jahr 2022/2023;;Erdgas;335;256;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0642;Grosskraftwerk Mannheim AG;GKM ;GKM Block 3;1966;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;203;203;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0643;Grosskraftwerk Mannheim AG;GKM ;GKM Block 4;1970;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;203;203;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0647;EnBW Energie Baden-Württemberg AG;Dampfkraftwerk Marbach am Neckar;Marbach II GT;1971;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Transnet_29_03_2017.pdf?__blob=publicationFile&v=1;;Mineralölprodukte;77;77;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0648;EnBW Energie Baden-Württemberg AG;Dampfkraftwerk Marbach am Neckar;Marbach III GT (solo);1975;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Transnet_29_03_2017.pdf?__blob=publicationFile&v=1;;Mineralölprodukte;85;85;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0649;EnBW Energie Baden-Württemberg AG;Dampfkraftwerk Marbach am Neckar;MAR III DT;1975;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Transnet_29_03_2017.pdf?__blob=publicationFile&v=1;;Mineralölprodukte;264;264;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0661;Evonik Degussa GmbH;Kraftwerk II;Marl KW II Block 3;1966;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;60;60;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0680;Mitteldeutsche Braunkohlengesellschaft mbH;Mumsdorf;Mumsdorf;1968;2013;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Braunkohle;60;60;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0681;SWM Services GmbH;Freimann GT 1;HKW Freimann GT1;;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;80;80;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0682;SWM Services GmbH;Freimann GT 2;HKW Freimann GT2;;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;80;80;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0693;SWN Stadtwerke Neumünster;Heizkraftwerk NMS;;1974;2022;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;"Sonstige Energieträger
(nicht erneuerbar) ";54;35;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0698;RWE Power AG;Neurath ;C;1973;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;Jahr der Sicherheitsbereitschaft;Braunkohle;292;292;Sicherheitsbereitschaft von Braunkohlekraftwerken gem. § 13g EnWG;Sicherheisbereitschaft;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0706;RWE Power AG;Niederaußem;F;1968;2018;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;297;297;Geplante endgültige Stilllegung nach Sicherheitsreserve;Sicherheisbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0713;RWE Power AG;Niederaußem;E;1970;2018;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;295;295;Geplante endgültige Stilllegung nach Sicherheitsreserve;Sicherheisbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0734;Lausitz Energie Kraftwerke AG;Thyrow;GT E;1989;2016;https://www.energate-messenger.de/news/170303/leag-darf-brandenburger-gaskraftwerk-nicht-stilllegen;;Erdgas;37,5;37,5;Geplant endgültig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0735;Lausitz Energie Kraftwerke AG;Thyrow;GT F;;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;38;38;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0736;Lausitz Energie Kraftwerke AG;Thyrow;GT G;;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;38;38;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0737;Lausitz Energie Kraftwerke AG;Thyrow;GT H;;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;38;38;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0738;Lausitz Energie Kraftwerke AG;Thyrow;GT A;1987;2016;https://www.energate-messenger.de/news/170303/leag-darf-brandenburger-gaskraftwerk-nicht-stilllegen;;Erdgas;36,5;36,5;Geplant endgültig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0739;Lausitz Energie Kraftwerke AG;Thyrow;GT B;1987;2016;https://www.energate-messenger.de/news/170303/leag-darf-brandenburger-gaskraftwerk-nicht-stilllegen;;Erdgas;36,5;36,5;Geplant endgültig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0740;Lausitz Energie Kraftwerke AG;Thyrow;GT C;1987;2016;https://www.energate-messenger.de/news/170303/leag-darf-brandenburger-gaskraftwerk-nicht-stilllegen;;Erdgas;36,5;36,5;Geplant endgültig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0741;Lausitz Energie Kraftwerke AG;Thyrow;GT D;1987;2016;https://www.energate-messenger.de/news/170303/leag-darf-brandenburger-gaskraftwerk-nicht-stilllegen;;Erdgas;36,5;36,5;Geplant endgültig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0753;Energieversorgung Oberhausen AG;HKW 2;HKW 2;1996;2019;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;25;25;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0789;"Vattenfall Europe Generation AG
";KW Jänschwalde E;E;1987;2019;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;465;465;Sicherheitsbereitschaft von Braunkohlekraftwerken gem. § 13g EnWG;Sicherheisbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA9998;"Vattenfall Europe Generation AG
";KW Jänschwalde;F;1989;2018;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;465;465;Sicherheitsbereitschaft von Braunkohlekraftwerken gem. § 13g EnWG;Sicherheisbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0799;Heizkraftwerk Pforzheim GmbH;Heizkraftwerk Pforzheim GmbH;DT2;;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;11;11;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0800;Heizkraftwerk Pforzheim GmbH;HKW Pforzheim;Kombiblock/GuD;1980;2022;https://rp.baden-wuerttemberg.de/rpk/Service/Bekanntmachung/bkm_umwelt/190425_Genehmigungsbescheid.pdf;Außerbetriebnahme, wenn Gasmotoren in Betrieb gehen: Geplant 2022;Erdgas;41;41;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0801;Heizkraftwerk Pforzheim GmbH;HKW Pforzheim;Wirbelschichtblock;1990;2022;https://rp.baden-wuerttemberg.de/rpk/Service/Bekanntmachung/bkm_umwelt/190425_Genehmigungsbescheid.pdf;;Steinkohle;27;27;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0810;Gemeinschaftskraftwerk Veltheim GmbH;Kraftwerk Veltheim;Veltheim 4 GT;1974;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;65;65;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0811;Gemeinschaftskraftwerk Veltheim GmbH;Kraftwerk Veltheim;Veltheim 4 DT;1975;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;335;335;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0813;Gemeinschaftskraftwerk Veltheim GmbH;Kraftwerk Veltheim;Veltheim 3;1970;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;303;303;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0820;STEAG GmbH;Weiher;Weiher III;1976;2017;https://mining-report.de/blog/steag-meldet-zwei-saarlaendische-kraftwerke-zur-vorlaeufigen-stilllegung-an/;;Steinkohle;656;656;Geplant vorläufig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0861b;Energie SaarLorLux AG;HKW Römerbrücke;Kohleanlage;1989;2021;https://www.energie-saarlorlux.com/unternehmen/mehr-gutes-klima/unsere-co2-projekte/;Annahme: Stilllegung, wenn Gasmotoren in Betrieb gehen: Geplant 2021;Steinkohle;50;50;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0918a;Dow Deutschland Anlagengesellschaft mbH;Dow Stade;DOW Stade Alt;;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;190;190;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0934;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Stuttgart-Gaisburg;GAI DT 14 neu;2009;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Steinkohle;23;23;Geplante endgültige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0969b;SWM Service GmbH;Nord 2;Block 2;1991;2022;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Steinkohle;333;333;Geplante endgültige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0989;STEAG GmbH;KW West;West 2;1971;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;318;318;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0990;STEAG GmbH;KW West;West 1;1971;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;322;322;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0991;Kraftwerke Voerde beschränkt haftende OHG;KW Voerde;Voerde A;1982;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;695;695;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0992;Kraftwerke Voerde beschränkt haftende OHG;KW Voerde;Voerde B;1985;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;695;695;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0993;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Irsching;3;1974;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Tennet_Irsching3_27_09_2017.pdf?__blob=publicationFile&v=1;Datum der letzten Ausweisung zur Systemrelevanz;Mineralölprodukte;415;375;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0994;Gemeinschaftskraftwerk Irsching GmbH;Gemeinschaftskraftwerk Irsching ;5;2010;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Tennet_2017.pdf?__blob=publicationFile&v=2;Datum der letzten Ausweisung zur Systemrelevanz;Erdgas;846;846;Geplant vorläufig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0995;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Ulrich Hartmann (Irsching);4;2011;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Tennet_2017.pdf?__blob=publicationFile&v=2;Datum der letzten Ausweisung zur Systemrelevanz;Erdgas;561;545;Geplant vorläufig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0998;Steag GmbH;Modellkraftwerk;MKV;1982;2022;https://www.saarbruecker-zeitung.de/nachrichten/wirtschaft/modellkraftwerk-fenne-ab-april-wieder-vom-netz_aid-37087539;doch mehr als die Hälfte des Jahres am Netz;Steinkohle;179;179;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1005;EnBW Energie Baden-Württemberg AG;Kraftwerk Walheim;WAL 1;1964;2019;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Transnet_Walheim06_11_2018.pdf?__blob=publicationFile&v=1;Datum der letzten Ausweisung zur Systemrelevanz;Steinkohle;96;96;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1006;EnBW Energie Baden-Württemberg AG;Kraftwerk Walheim;WAL 2;1967;2019;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Transnet_Walheim06_11_2018.pdf?__blob=publicationFile&v=1;Datum der letzten Ausweisung zur Systemrelevanz;Steinkohle;148;148;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1035;Mark-E Aktiengesellschaft;Kraftwerk Werdohl-Elverlingsen;Kraftwerk Werdohl-Elverlingsen E3;1971;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;186;186;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1036;Mark-E Aktiengesellschaft;Kraftwerk Werdohl-Elverlingsen;E 1/2;1975;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Mineralölprodukte;206;206;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1037;Mark-E Aktiengesellschaft;Kraftwerk Werdohl-Elverlingsen;Kraftwerk Werdohl-Elverlingsen E4;1982;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;310;310;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1041;RWE Generation SE;Gersteinwerk;Gersteinwerk H1;1973;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;55;55;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1043;RWE Generation SE;Gersteinwerk;I2;1973;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Erdgas;355;355;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1044;RWE Generation SE;Gersteinwerk;F2;1973;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Erdgas;355;355;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1045;RWE Generation AG;Gersteinwerk;G2;1973;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Erdgas;355;355;Geplante Vorläufige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1046a;RWE Generation SE;Gersteinwerk;Block K2;1984;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Steinkohle;614;614;Geplante endgültige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1075a;Volkswagen AG;HKW Nord;Generator A;2000;2022;https://regionalbraunschweig.de/volkswagen-stellt-kraftwerke-von-kohle-auf-gas-um/;Außerbetriebnahme, wenn GuDs in Betrieb gehen: Geplant 2022;Steinkohle;62;62;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1075b;Volkswagen AG;HKW Nord;Generator B;2000;2022;https://regionalbraunschweig.de/volkswagen-stellt-kraftwerke-von-kohle-auf-gas-um/;Außerbetriebnahme, wenn GuDs in Betrieb gehen: Geplant 2022;Steinkohle;62;62;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1076a;Volkswagen AG;HKW West;Block 1;1985;2022;https://regionalbraunschweig.de/volkswagen-stellt-kraftwerke-von-kohle-auf-gas-um/;Außerbetriebnahme, wenn GuDs in Betrieb gehen: Geplant 2022;Steinkohle;139;139;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1076b;Volkswagen AG;HKW West;Block 2;1985;2022;https://regionalbraunschweig.de/volkswagen-stellt-kraftwerke-von-kohle-auf-gas-um/;Außerbetriebnahme, wenn GuDs in Betrieb gehen: Geplant 2022;Steinkohle;139;139;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1084;WSW Energie & Wasser AG;HKW Elberfeld ;HKW Elberfeld;1992;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;85;85;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1103;UPM GmbH;UPM Augsburg;Dampfturbine 3;1967;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Erdgas;29;29;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1104;Stadtwerke Augsburg Energie GmbH;Heizkraftwerk;T2;1976;2021;;kein Anzeichen für Stilllegung;Erdgas;20;20;Geplant vorläufig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1200;Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG;GuD-Kraftwerk;GuD-Kraftwerk;2005;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;17;17;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1248a;UPM GmbH;UPM Schongau;Dampfkraftwerk;1954;2019;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Amprion_27_08_2019.pdf?__blob=publicationFile&v=1;letztes Jahr der  Ausweisung der Systemrelevant;Erdgas;64;64;Geplant vorläufig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA1397e;Ineos Manufacturing Deutschland GmbH;O10;T31;1967;2020;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;"Sonstige Energieträger
(nicht erneuerbar) ";34;34;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1406;FS-Karton;FS-Karton;;1992;2022;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Erdgas;21;21;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA1487;Entega AG (vormals: HEAG Südhessische Energie AG (HSE));GTKW Darmstadt;;2013;2019;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/systemrelevante_KW/Bescheid_Amprion_27_08_2019.pdf?__blob=publicationFile&v=1;letztes Jahr der  Ausweisung der Systemrelevant;Erdgas;95;95;Geplant vorläufig;;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
